Benchmark,is_OPT,BEST,tot_time,solving_time
ais6,0,202,219.47359943389893,219.3191478252411
ais8,0,278,7229.589199781418,7229.078800916672
ais10,0,352,7231.342145681381,7230.088465213776
ais12,0,,,
cnf_cbpmas_prop_1_12761_2_12.73000000.sat,0,,,
cnf_cbpmas_prop_2_13116_2_9.98000000.sat,0,,,
cnf_cbpmas_prop_5_13961_2_7.57000000.sat,0,,,
cnf_cbpmas_prop_6_14201_2_8.90000000.sat,0,,,
cnf_cbpmas_prop_19_19151_2_0.00000000.sat,1,9900,7402.2695343494415,7230.985653877258
cnf_cbpmas_prop_20_19379_2_9.60000000.sat,0,,,
cnf_cbpmas_prop_21_19624_2_0.01000000.sat,1,8660,7419.295459032059,7238.28826212883
cnf_cbpmas_prop_22_19855_2_9.97000000.sat,0,,,
cnf_cbpmas_prop_23_20123_2_0.00000000.sat,1,10520,7381.34931063652,7232.762843370438
cnf_cbpmas_prop_24_20378_2_11.87000000.sat,0,,,
cnf_cbpmas_prop_25_20875_2_0.00000000.sat,1,8660,7426.2855677604675,7241.996930837631
cnf_cbpmas_prop_26_21271_2_12.78000000.sat,0,,,
cnf_cbpmas_prop_27_21735_2_6.82000000.sat,0,,,
cnf_cbpmas_prop_28_22074_2_6.85000000.sat,0,,,
cnf_cbpmas_prop_29_22553_2_13.05000000.sat,0,,,
cnf_cbpmas_prop_37_25392_2_0.16000000.sat,0,,,
cnf_mo_prop_1_790_2_0.00000000.sat,1,19250,1797.666617155075,1739.3480944633484
cnf_mo_prop_2_1768_2_0.00000000.sat,1,19250,1748.865823507309,1690.5833854675293
cnf_mo_prop_8_12004_2_0.00000000.sat,1,19250,896.4890580177307,837.9985156059265
cnf_mo_prop_9_12912_2_0.00000000.sat,1,19250,1307.4831700325012,1246.710560798645
flat30-1,1,480,0.5399959087371826,0.41844916343688965
flat30-2,1,480,0.4739408493041992,0.3532440662384033
flat30-3,1,480,1.4046576023101807,1.2828328609466553
flat30-4,1,480,0.78934645652771,0.6679987907409668
flat30-5,0,480,3.4583218097686768,3.337322950363159
flat30-6,1,480,0.44169092178344727,0.3229193687438965
flat30-7,1,480,0.39263176918029785,0.2714266777038574
flat30-8,1,480,5.291816234588623,5.171872138977051
flat30-9,1,480,0.8288912773132324,0.7048461437225342
flat30-10,1,480,0.35109400749206543,0.22907161712646484
flat50-1,1,800,2.36759877204895,2.0775392055511475
flat50-2,0,800,71.71736764907837,71.41775584220886
flat50-3,0,800,79.11751556396484,78.81803870201111
flat50-4,0,800,167.56615042686462,167.26515579223633
flat50-5,0,800,37.91818833351135,37.63727879524231
flat50-6,0,800,27.972594738006592,27.677342891693115
flat50-7,0,800,33.74893760681152,33.4584436416626
flat50-8,0,800,44.71612238883972,44.43026399612427
flat50-9,0,800,60.33800411224365,60.04769444465637
flat50-10,0,800,23.065253734588623,22.786906003952026
flat75-1,0,1200,359.90374088287354,359.4106385707855
flat75-2,0,1200,188.06845831871033,187.58274173736572
flat75-3,0,1200,159.94129157066345,159.4512972831726
flat75-4,0,1200,62.11277651786804,61.62064599990845
flat75-5,0,1200,144.69399118423462,144.20175123214722
flat75-6,0,1200,106.36004686355591,105.85152077674866
flat75-7,0,1200,166.20715379714966,165.717515707016
flat75-8,0,1200,349.92096281051636,349.39577746391296
flat75-9,0,1200,63.37353849411011,62.88326287269592
flat75-10,0,1200,157.90414190292358,157.400972366333
flat100-1,0,1600,427.292498588562,426.5061950683594
flat100-2,0,1600,3234.768879890442,3233.9761559963226
flat100-3,0,1600,573.1366815567017,572.3490929603577
flat100-4,0,1600,640.9412610530853,640.1570363044739
flat100-5,0,1600,285.3537902832031,284.56423115730286
flat100-6,0,1600,200.60807728767395,199.81202960014343
flat100-7,0,1600,4544.041815042496,4543.245493412018
flat100-8,0,56,7228.093430280685,7227.295879602432
flat100-9,0,1600,654.5093586444855,653.7279016971588
