Benchmark,is_OPT,BEST,tot_time,solving_time
ais6,0,844,7227.903865098953,7227.415065050125
ais8,0,,,
ais10,0,,,
ais12,0,,,
cnf_cbpmas_prop_1_12761_2_12.73000000.sat,0,,,
cnf_cbpmas_prop_2_13116_2_9.98000000.sat,0,,,
cnf_cbpmas_prop_5_13961_2_7.57000000.sat,0,,,
cnf_cbpmas_prop_6_14201_2_8.90000000.sat,0,,,
cnf_cbpmas_prop_19_19151_2_0.00000000.sat,0,,,
cnf_cbpmas_prop_20_19379_2_9.60000000.sat,0,,,
cnf_cbpmas_prop_21_19624_2_0.01000000.sat,0,,,
cnf_cbpmas_prop_22_19855_2_9.97000000.sat,0,,,
cnf_cbpmas_prop_23_20123_2_0.00000000.sat,0,,,
cnf_cbpmas_prop_24_20378_2_11.87000000.sat,0,,,
cnf_cbpmas_prop_25_20875_2_0.00000000.sat,0,,,
cnf_cbpmas_prop_26_21271_2_12.78000000.sat,0,,,
cnf_cbpmas_prop_27_21735_2_6.82000000.sat,0,,,
cnf_cbpmas_prop_28_22074_2_6.85000000.sat,0,,,
cnf_cbpmas_prop_29_22553_2_13.05000000.sat,0,,,
cnf_cbpmas_prop_37_25392_2_0.16000000.sat,0,,,
cnf_mo_prop_1_790_2_0.00000000.sat,1,78753,7659.428195953369,7228.995559692383
cnf_mo_prop_2_1768_2_0.00000000.sat,1,78753,7662.048511505127,7230.711306333542
cnf_mo_prop_8_12004_2_0.00000000.sat,0,78060,7641.876088857651,7230.709973335266
cnf_mo_prop_9_12912_2_0.00000000.sat,1,78053,7681.15992307663,7236.84970998764
flat30-1,0,1980,99.65764546394348,99.15246510505676
flat30-2,0,1980,179.38093948364258,178.86537051200867
flat30-3,0,1980,117.91602754592896,117.40700626373291
flat30-4,0,1980,143.60516262054443,143.10922646522522
flat30-5,0,1980,96.86224460601807,96.34947848320007
flat30-6,0,1980,142.23570489883423,141.7354655265808
flat30-7,1,1980,17.700825452804565,17.19841432571411
flat30-8,0,1980,38.87787175178528,38.37576746940613
flat30-9,1,1980,75.95740270614624,75.4647605419159
flat30-10,0,1980,88.07892346382141,87.57202076911926
flat50-1,0,3300,380.03117299079895,378.86155819892883
flat50-2,0,3300,1176.6626331806183,1175.4953045845032
flat50-3,0,3300,859.1797850131989,858.0099234580994
flat50-4,0,3300,990.7880718708038,989.6161749362946
flat50-5,0,3300,1701.8190124034882,1700.6498651504517
flat50-6,0,3300,842.8851022720337,841.7075743675232
flat50-7,0,3300,1308.8450202941895,1307.6830024719238
flat50-8,0,3300,820.7579617500305,819.5819730758667
flat50-9,0,3300,288.8350431919098,287.65864729881287
flat50-10,0,3300,2619.6449563503265,2618.4944512844086
flat75-1,0,4950,3840.102786064148,3837.65615439415
flat75-2,0,4950,6138.388914108276,6135.887516736984
flat75-3,0,4426,7229.827974081039,7227.432131767273
flat75-4,0,4724,7229.385241031647,7226.970809459686
flat75-5,0,4950,4300.214420557022,4297.8271920681
flat75-6,0,4950,4664.985553026199,4662.603180885315
flat75-7,0,4950,6468.546106100082,6466.149831533432
flat75-8,0,2556,7231.421503782272,7229.00105881691
flat75-9,0,4950,3158.306032896042,3155.9135661125183
flat75-10,0,4926,7229.312643766403,7226.9561994075775
flat100-1,0,6004,7233.222828388214,7229.0975131988525
flat100-2,0,968,7232.819787740707,7228.778117895126
flat100-3,0,1142,7230.94172501564,7226.880669116974
flat100-4,0,256,7230.842484235764,7226.808171510696
flat100-5,0,0,7229.804605722427,7225.803397655487
flat100-6,0,1392,7232.347855091095,7228.232702255249
flat100-7,0,1258,7230.391691207886,7226.396807909012
flat100-8,0,32,7232.6580011844635,7228.545327663422
flat100-9,0,1086,7231.490464448929,7227.4549062252045
flat100-10,0,96,7231.260475158691,7227.260744810104
flat125-1,0,,,
flat125-2,0,,,
flat125-3,0,,,
flat125-4,0,,,
flat125-5,0,,,
flat150-1,0,,,
flat150-2,0,,,
flat150-3,0,,,
flat150-4,0,,,
flat150-5,0,,,
flat175-1,0,,,
flat175-2,0,,,
flat175-3,0,,,
flat175-4,0,,,
flat175-5,0,,,
