Benchmark,is_OPT,BEST,tot_time,solving_time
ais6,0,836,7228.908743143082,7228.520562887192
ais8,0,,,
ais10,0,,,
ais12,0,,,
cnf_cbpmas_prop_1_12761_2_12.73000000.sat,0,,,
cnf_cbpmas_prop_2_13116_2_9.98000000.sat,0,,,
cnf_cbpmas_prop_5_13961_2_7.57000000.sat,0,,,
cnf_cbpmas_prop_6_14201_2_8.90000000.sat,0,,,
cnf_cbpmas_prop_19_19151_2_0.00000000.sat,0,,,
cnf_cbpmas_prop_20_19379_2_9.60000000.sat,0,,,
cnf_cbpmas_prop_21_19624_2_0.01000000.sat,0,,,
cnf_cbpmas_prop_22_19855_2_9.97000000.sat,0,,,
cnf_cbpmas_prop_23_20123_2_0.00000000.sat,0,,,
cnf_cbpmas_prop_24_20378_2_11.87000000.sat,0,,,
cnf_cbpmas_prop_25_20875_2_0.00000000.sat,0,,,
cnf_cbpmas_prop_26_21271_2_12.78000000.sat,0,,,
cnf_cbpmas_prop_27_21735_2_6.82000000.sat,0,,,
cnf_cbpmas_prop_28_22074_2_6.85000000.sat,0,,,
cnf_cbpmas_prop_29_22553_2_13.05000000.sat,0,,,
cnf_cbpmas_prop_37_25392_2_0.16000000.sat,0,,,
cnf_mo_prop_1_790_2_0.00000000.sat,1,39919,7534.997209310532,7227.040246248245
cnf_mo_prop_2_1768_2_0.00000000.sat,1,39919,7512.03967666626,7228.962423801422
cnf_mo_prop_8_12004_2_0.00000000.sat,1,79272,7505.634828329086,7227.992918729782
cnf_mo_prop_9_12912_2_0.00000000.sat,1,79260,7550.967333316803,7234.752346992493
flat30-1,1,1980,7.129153490066528,6.740680694580078
flat30-2,1,1980,8.340150117874146,7.956350564956665
flat30-3,1,1980,17.450225114822388,17.065558195114136
flat30-4,1,1980,15.031509637832642,14.645262956619263
flat30-5,1,1980,11.32894778251648,10.93631649017334
flat30-6,1,1980,6.555740118026733,6.169768571853638
flat30-7,0,1980,8.334605932235718,7.950080394744873
flat30-8,1,1980,9.628758192062378,9.244373321533203
flat30-9,1,1980,11.198486566543579,10.814252853393555
flat30-10,1,1980,6.421116828918457,6.033363342285156
flat50-1,1,3300,48.15554761886597,47.2830650806427
flat50-2,0,3300,39.453004360198975,38.56020927429199
flat50-3,0,3300,40.1789026260376,39.289329290390015
flat50-4,0,3300,50.193459033966064,49.30998253822327
