Benchmark,is_OPT,BEST,tot_time,solving_time
ais6,0,200,7227.775629997253,7227.643975973129
ais8,0,,,
ais10,0,,,
ais12,0,,,
cnf_cbpmas_prop_1_12761_2_12.73000000.sat,0,,,
cnf_cbpmas_prop_2_13116_2_9.98000000.sat,0,,,
cnf_cbpmas_prop_5_13961_2_7.57000000.sat,0,,,
cnf_cbpmas_prop_6_14201_2_8.90000000.sat,0,,,
cnf_cbpmas_prop_19_19151_2_0.00000000.sat,0,,,
cnf_cbpmas_prop_20_19379_2_9.60000000.sat,0,,,
cnf_cbpmas_prop_21_19624_2_0.01000000.sat,0,,,
cnf_cbpmas_prop_22_19855_2_9.97000000.sat,0,,,
cnf_cbpmas_prop_23_20123_2_0.00000000.sat,0,,,
cnf_cbpmas_prop_24_20378_2_11.87000000.sat,0,,,
cnf_cbpmas_prop_25_20875_2_0.00000000.sat,0,,,
cnf_cbpmas_prop_26_21271_2_12.78000000.sat,0,,,
cnf_cbpmas_prop_27_21735_2_6.82000000.sat,0,,,
cnf_cbpmas_prop_28_22074_2_6.85000000.sat,0,,,
cnf_cbpmas_prop_29_22553_2_13.05000000.sat,0,,,
cnf_cbpmas_prop_37_25392_2_0.16000000.sat,0,,,
cnf_mo_prop_1_790_2_0.00000000.sat,0,,,
cnf_mo_prop_2_1768_2_0.00000000.sat,0,,,
cnf_mo_prop_8_12004_2_0.00000000.sat,0,,,
cnf_mo_prop_9_12912_2_0.00000000.sat,0,,,
flat30-1,0,480,1637.9809942245483,1637.8732469081879
flat30-2,0,480,7226.07449555397,7225.964980840683
flat30-3,0,480,7228.690723419189,7228.58450293541
flat30-4,0,480,7229.611980438232,7229.5066175460815
flat30-5,0,480,7227.398780584335,7227.292880058289
flat30-6,0,480,7229.442573785782,7229.335827827454
flat30-7,1,480,7255.941027164459,7255.836540222168
flat30-8,0,480,7248.44892168045,7248.343562602997
flat30-9,0,480,7229.459533452988,7229.34950709343
flat30-10,1,480,7240.263232946396,7240.15682554245
flat50-1,0,800,7225.8961544036865,7225.666571140289
flat50-2,0,800,7224.991666555405,7224.7248368263245
flat50-3,0,800,7227.084550142288,7226.8675582408905
flat50-4,0,800,7229.776153087616,7229.55117225647
flat50-5,0,800,7228.191972732544,7227.95857167244
flat50-6,0,800,7225.622180223465,7225.400631904602
flat50-7,0,800,7226.41512799263,7226.19712138176
flat50-8,0,800,7226.490002632141,7226.244291782379
