Instance,PeakMem(MB),Time(s)
mc2024_track1_049.pbo,172.51,out_of_time
sw100-10.pbo,3553.29,out_of_time
flat100-6.pbo,1795.21,out_of_time
mc2024_track1_078.pbo,18463.66,541.94
sw100-18.pbo,2113.89,out_of_time
cnf_mo_prop_9_12912_2.cnf_0.00000000.sat.pbo,13288.91,out_of_time
mc2024_track1_186.pbo,1174.86,out_of_time
mc2024_track1_120.pbo,196.94,out_of_time
mc2024_track1_101.pbo,3896.70,out_of_time
mc2024_track1_050.pbo,176.59,out_of_time
mc2024_track1_149.pbo,3024.63,out_of_time
mc2024_track1_084.pbo,16730.28,354.94
mc2024_track1_022.pbo,14367.14,out_of_time
cnf_cbpmas_prop_29_22553_2.cnf_13.05000000.sat.pbo,17460.31,421.39
mc2024_track1_121.pbo,1524.83,out_of_time
cnf_cbpmas_prop_23_20123_2.cnf_0.00000000.sat.pbo,17437.89,out_of_time
flat75-2.pbo,1549.08,out_of_time
mc2024_track1_000.pbo,17788.41,469.95
mc2024_track1_073.pbo,16959.94,367.22
mc2024_track1_007.pbo,19011.67,686.42
mc2024_track1_036.pbo,2381.64,out_of_time
mc2024_track1_184.pbo,4218.14,out_of_time
mc2024_track1_104.pbo,4363.89,out_of_time
sw100-17.pbo,2657.61,out_of_time
flat50-8.pbo,2241.86,out_of_time
mc2024_track1_137.pbo,17079.85,3604.50
sw100-13.pbo,1771.02,out_of_time
mc2024_track1_085.pbo,11475.49,out_of_time
cnf_mo_prop_1_790_2.cnf_0.00000000.sat.pbo,10004.30,out_of_time
cnf_cbpmas_prop_22_19855_2.cnf_9.97000000.sat.pbo,17460.79,452.50
flat200-2.pbo,2630.49,out_of_time
mc2024_track1_009.pbo,9001.84,out_of_time
mc2024_track1_148.pbo,5481.72,out_of_time
mc2024_track1_018.pbo,20939.70,8522.07
mc2024_track1_167.pbo,7895.82,out_of_time
mc2024_track1_136.pbo,17278.73,397.17
mc2024_track1_114.pbo,181.50,out_of_time
mc2024_track1_103.pbo,13697.60,out_of_time
mc2024_track1_161.pbo,17829.20,1242.26
flat200-4.pbo,2906.80,out_of_time
flat125-3.pbo,2130.01,out_of_time
mc2024_track1_142.pbo,13166.62,out_of_time
mc2024_track1_181.pbo,2648.23,out_of_time
sw100-2.pbo,2648.30,out_of_time
mc2024_track1_146.pbo,5774.46,out_of_time
mc2024_track1_127.pbo,3746.05,out_of_time
mc2024_track1_015.pbo,18249.49,out_of_time
mc2024_track1_052.pbo,16986.24,366.32
mc2024_track1_152.pbo,2429.40,out_of_time
mc2024_track1_190.pbo,802.55,out_of_time
mc2024_track1_047.pbo,145.13,out_of_time
flat50-9.pbo,1222.36,out_of_time
mc2024_track1_157.pbo,2189.93,out_of_time
mc2024_track1_008.pbo,26906.93,2020.61
mc2024_track1_155.pbo,6422.43,out_of_time
mc2024_track1_014.pbo,6639.58,out_of_time
cnf_cbpmas_prop_27_21735_2.cnf_6.82000000.sat.pbo,17462.29,424.71
mc2024_track1_174.pbo,1505.62,out_of_time
cnf_cbpmas_prop_37_25392_2.cnf_0.16000000.sat.pbo,16910.43,381.77
flat200-3.pbo,3717.81,out_of_time
flat75-1.pbo,2152.91,out_of_time
mc2024_track1_128.pbo,1807.08,out_of_time
flat75-6.pbo,1702.31,out_of_time
mc2024_track1_139.pbo,18040.27,4525.47
flat100-2.pbo,1759.27,out_of_time
mc2024_track1_064.pbo,1660.85,out_of_time
mc2024_track1_063.pbo,1895.90,out_of_time
flat50-10.pbo,1671.17,out_of_time
mc2024_track1_187.pbo,336.18,out_of_time
sw100-20.pbo,3331.59,out_of_time
cnf_cbpmas_prop_26_21271_2.cnf_12.78000000.sat.pbo,17461.41,441.49
mc2024_track1_165.pbo,12231.71,out_of_time
mc2024_track1_002.pbo,2610.46,out_of_time
cnf_mo_prop_2_1768_2.cnf_0.00000000.sat.pbo,9349.88,out_of_time
mc2024_track1_068.pbo,266.50,out_of_time
mc2024_track1_086.pbo,7795.51,out_of_time
mc2024_track1_134.pbo,16990.82,381.14
flat100-5.pbo,3014.44,out_of_time
cnf_cbpmas_prop_24_20378_2.cnf_11.87000000.sat.pbo,17458.69,430.08
cnf_cbpmas_prop_2_13116_2.cnf_9.98000000.sat.pbo,17460.83,433.41
flat30-8.pbo,1264.55,out_of_time
mc2024_track1_164.pbo,4405.02,out_of_time
mc2024_track1_177.pbo,580.78,out_of_time
