Instance,PeakMem(MB),Time(s)
mc2024_track1_049.pbo,381.36,out_of_time
sw100-10.pbo,2616.46,out_of_time
flat100-6.pbo,2849.31,out_of_time
mc2024_track1_078.pbo,18147.80,535.58
sw100-18.pbo,2975.15,out_of_time
cnf_mo_prop_9_12912_2.cnf_0.00000000.sat.pbo,10825.34,out_of_time
mc2024_track1_186.pbo,887.02,out_of_time
mc2024_track1_120.pbo,196.86,out_of_time
mc2024_track1_101.pbo,2872.69,out_of_time
mc2024_track1_050.pbo,243.38,out_of_time
mc2024_track1_149.pbo,2867.79,out_of_time
mc2024_track1_084.pbo,16686.14,351.77
mc2024_track1_022.pbo,11766.09,out_of_time
cnf_cbpmas_prop_29_22553_2.cnf_13.05000000.sat.pbo,17247.38,413.46
mc2024_track1_121.pbo,1649.86,out_of_time
cnf_cbpmas_prop_23_20123_2.cnf_0.00000000.sat.pbo,18523.93,out_of_time
flat75-2.pbo,1617.97,out_of_time
mc2024_track1_000.pbo,17327.18,465.49
mc2024_track1_073.pbo,16866.16,363.79
mc2024_track1_007.pbo,18919.79,784.21
mc2024_track1_036.pbo,4277.11,out_of_time
mc2024_track1_184.pbo,5252.45,out_of_time
mc2024_track1_104.pbo,5213.04,out_of_time
sw100-17.pbo,3654.20,out_of_time
flat50-8.pbo,1874.80,out_of_time
mc2024_track1_137.pbo,16816.67,366.18
sw100-13.pbo,2211.94,out_of_time
mc2024_track1_085.pbo,4577.56,out_of_time
cnf_mo_prop_1_790_2.cnf_0.00000000.sat.pbo,8345.55,out_of_time
cnf_cbpmas_prop_22_19855_2.cnf_9.97000000.sat.pbo,17255.22,438.46
flat200-2.pbo,4087.86,out_of_time
mc2024_track1_009.pbo,6637.71,out_of_time
mc2024_track1_148.pbo,4679.71,out_of_time
mc2024_track1_018.pbo,19188.38,out_of_time
mc2024_track1_167.pbo,10071.29,out_of_time
mc2024_track1_136.pbo,16906.64,377.45
mc2024_track1_114.pbo,139.74,out_of_time
mc2024_track1_103.pbo,6648.43,out_of_time
mc2024_track1_161.pbo,19172.73,1310.92
flat200-4.pbo,2773.99,out_of_time
flat125-3.pbo,3374.41,out_of_time
mc2024_track1_142.pbo,12153.81,out_of_time
mc2024_track1_181.pbo,1783.34,out_of_time
sw100-2.pbo,5063.84,out_of_time
mc2024_track1_146.pbo,16284.65,out_of_time
mc2024_track1_127.pbo,2209.53,out_of_time
mc2024_track1_015.pbo,10634.83,out_of_time
mc2024_track1_052.pbo,16949.30,367.65
mc2024_track1_152.pbo,2039.73,out_of_time
mc2024_track1_190.pbo,1156.25,out_of_time
mc2024_track1_047.pbo,239.36,out_of_time
flat50-9.pbo,1407.65,out_of_time
mc2024_track1_157.pbo,2787.20,out_of_time
mc2024_track1_008.pbo,26904.04,2020.83
