Instance,PeakMem(MB),Time(s)
mc2024_track1_049.pbo,279.95,out_of_time
sw100-10.pbo,1089.02,out_of_time
flat100-6.pbo,3.06,0.67
mc2024_track1_078.pbo,4398.38,out_of_time
sw100-18.pbo,1211.96,out_of_time
cnf_mo_prop_9_12912_2.cnf_0.00000000.sat.pbo,609.53,109.76
mc2024_track1_186.pbo,322.15,out_of_time
mc2024_track1_120.pbo,119.43,4335.04
mc2024_track1_101.pbo,1128.41,9878.08
mc2024_track1_050.pbo,1197.64,out_of_time
mc2024_track1_149.pbo,747.59,out_of_time
mc2024_track1_084.pbo,814.74,out_of_time
mc2024_track1_022.pbo,1066.59,out_of_time
cnf_cbpmas_prop_29_22553_2.cnf_13.05000000.sat.pbo,4735.81,out_of_time
mc2024_track1_121.pbo,3.28,0.57
cnf_cbpmas_prop_23_20123_2.cnf_0.00000000.sat.pbo,4709.76,out_of_time
flat75-2.pbo,2.64,0.52
mc2024_track1_000.pbo,8974.60,out_of_time
mc2024_track1_073.pbo,1569.34,out_of_time
mc2024_track1_007.pbo,16870.92,out_of_time
mc2024_track1_036.pbo,1558.27,out_of_time
mc2024_track1_184.pbo,3.06,0.45
mc2024_track1_104.pbo,2882.99,out_of_time
sw100-17.pbo,1071.83,out_of_time
flat50-8.pbo,3.06,0.52
mc2024_track1_137.pbo,3411.27,out_of_time
sw100-13.pbo,1652.73,out_of_time
mc2024_track1_085.pbo,17.84,6.31
cnf_mo_prop_1_790_2.cnf_0.00000000.sat.pbo,766.99,195.34
cnf_cbpmas_prop_22_19855_2.cnf_9.97000000.sat.pbo,4500.48,out_of_time
flat200-2.pbo,6.00,1.08
mc2024_track1_009.pbo,78.11,41.02
mc2024_track1_148.pbo,1523.54,out_of_time
mc2024_track1_018.pbo,1720.41,out_of_time
mc2024_track1_167.pbo,42.21,15.35
mc2024_track1_136.pbo,1378.51,out_of_time
mc2024_track1_114.pbo,159.98,out_of_time
mc2024_track1_103.pbo,3182.01,out_of_time
mc2024_track1_161.pbo,2176.37,out_of_time
flat200-4.pbo,6.88,1.19
flat125-3.pbo,4.38,0.73
mc2024_track1_142.pbo,2326.61,out_of_time
mc2024_track1_181.pbo,3.06,0.49
sw100-2.pbo,1123.07,out_of_time
mc2024_track1_146.pbo,1516.45,out_of_time
mc2024_track1_127.pbo,79.98,533.67
mc2024_track1_015.pbo,20.05,1.11
mc2024_track1_052.pbo,35.53,4.34
mc2024_track1_152.pbo,589.09,out_of_time
mc2024_track1_190.pbo,255.22,out_of_time
mc2024_track1_047.pbo,185.96,out_of_time
flat50-9.pbo,4.94,0.48
mc2024_track1_157.pbo,560.23,3746.71
mc2024_track1_008.pbo,16124.65,out_of_time
mc2024_track1_155.pbo,1902.94,out_of_time
mc2024_track1_014.pbo,781.42,4678.91
cnf_cbpmas_prop_27_21735_2.cnf_6.82000000.sat.pbo,5175.93,out_of_time
mc2024_track1_174.pbo,5.48,0.60
cnf_cbpmas_prop_37_25392_2.cnf_0.16000000.sat.pbo,3321.66,out_of_time
flat200-3.pbo,7.64,1.36
flat75-1.pbo,5.21,0.55
mc2024_track1_128.pbo,45.30,46.49
flat75-6.pbo,3.28,0.63
mc2024_track1_139.pbo,968.20,out_of_time
flat100-2.pbo,4.92,0.61
mc2024_track1_064.pbo,366.29,9215.20
mc2024_track1_063.pbo,506.01,out_of_time
flat50-10.pbo,4.70,0.49
mc2024_track1_187.pbo,197.00,out_of_time
sw100-20.pbo,1518.85,out_of_time
cnf_cbpmas_prop_26_21271_2.cnf_12.78000000.sat.pbo,4701.05,out_of_time
mc2024_track1_165.pbo,139.00,82.23
mc2024_track1_002.pbo,528.78,out_of_time
cnf_mo_prop_2_1768_2.cnf_0.00000000.sat.pbo,766.42,196.15
mc2024_track1_068.pbo,305.69,out_of_time
mc2024_track1_086.pbo,10.60,2.76
mc2024_track1_134.pbo,3458.13,out_of_time
flat100-5.pbo,3.94,0.59
cnf_cbpmas_prop_24_20378_2.cnf_11.87000000.sat.pbo,4723.58,out_of_time
cnf_cbpmas_prop_2_13116_2.cnf_9.98000000.sat.pbo,5698.07,out_of_time
flat30-8.pbo,2.41,0.44
mc2024_track1_164.pbo,1658.08,out_of_time
mc2024_track1_177.pbo,2.62,0.47
mc2024_track1_100.pbo,507.91,out_of_time
flat30-10.pbo,2.41,0.47
flat30-7.pbo,2.41,0.44
mc2024_track1_151.pbo,471.00,out_of_time
flat75-7.pbo,3.06,0.58
mc2024_track1_057.pbo,9.49,0.88
flat75-3.pbo,3.28,0.56
mc2024_track1_090.pbo,8.32,1.92
mc2024_track1_062.pbo,22.36,12.39
cnf_cbpmas_prop_5_13961_2.cnf_7.57000000.sat.pbo,4037.80,out_of_time
mc2024_track1_197.pbo,2165.45,out_of_time
mc2024_track1_034.pbo,3123.27,out_of_time
mc2024_track1_170.pbo,877.06,out_of_time
mc2024_track1_081.pbo,2.19,0.50
cnf_cbpmas_prop_1_12761_2.cnf_12.73000000.sat.pbo,5701.64,out_of_time
mc2024_track1_129.pbo,356.71,out_of_time
mc2024_track1_028.pbo,1.97,0.45
mc2024_track1_077.pbo,806.61,out_of_time
mc2024_track1_185.pbo,5.03,0.72
mc2024_track1_156.pbo,6328.75,out_of_time
mc2024_track1_179.pbo,3.50,0.65
flat125-5.pbo,5.96,0.79
flat50-2.pbo,3.06,0.51
sw100-19.pbo,1256.27,out_of_time
mc2024_track1_056.pbo,21.93,2.09
flat75-5.pbo,3.06,0.55
sw100-4.pbo,1097.96,out_of_time
mc2024_track1_020.pbo,6.12,0.98
flat100-1.pbo,3.94,0.61
mc2024_track1_125.pbo,539.93,out_of_time
flat75-4.pbo,3.50,0.55
cnf_cbpmas_prop_21_19624_2.cnf_0.01000000.sat.pbo,4710.08,out_of_time
mc2024_track1_171.pbo,374.93,24.61
flat175-1.pbo,6.75,0.91
mc2024_track1_111.pbo,51.57,45.52
mc2024_track1_175.pbo,4.63,0.54
mc2024_track1_192.pbo,7399.67,out_of_time
mc2024_track1_147.pbo,1727.42,out_of_time
mc2024_track1_091.pbo,13.04,3.16
mc2024_track1_109.pbo,3591.87,out_of_time
mc2024_track1_153.pbo,711.74,out_of_time
cnf_cbpmas_prop_25_20875_2.cnf_0.00000000.sat.pbo,5176.84,out_of_time
mc2024_track1_016.pbo,23.23,2.52
mc2024_track1_070.pbo,1547.84,out_of_time
sw100-14.pbo,1209.12,out_of_time
mc2024_track1_145.pbo,2710.71,out_of_time
mc2024_track1_116.pbo,306.69,out_of_time
flat30-6.pbo,2.19,0.44
flat50-6.pbo,2.62,0.48
flat175-4.pbo,7.44,0.93
mc2024_track1_196.pbo,1534.57,out_of_time
mc2024_track1_126.pbo,396.94,out_of_time
flat30-2.pbo,2.41,0.45
mc2024_track1_132.pbo,358.33,out_of_time
mc2024_track1_106.pbo,23.52,3.42
flat200-5.pbo,5.47,1.09
flat100-10.pbo,5.86,0.61
ais12.pbo,346.81,out_of_time
mc2024_track1_173.pbo,25.57,1.70
mc2024_track1_199.pbo,2079.23,out_of_time
sw100-1.pbo,1370.10,out_of_time
logistics.c.pbo,790.76,out_of_time
mc2024_track1_011.pbo,1055.81,out_of_time
mc2024_track1_183.pbo,2.62,0.47
mc2024_track1_172.pbo,433.95,out_of_time
flat100-7.pbo,4.16,0.71
mc2024_track1_088.pbo,1849.61,out_of_time
flat100-4.pbo,5.31,0.61
mc2024_track1_118.pbo,1.97,0.45
mc2024_track1_092.pbo,299.52,2364.43
mc2024_track1_083.pbo,2.62,0.53
mc2024_track1_189.pbo,834.50,out_of_time
mc2024_track1_166.pbo,10538.49,out_of_time
mc2024_track1_042.pbo,404.49,out_of_time
mc2024_track1_113.pbo,220.03,out_of_time
mc2024_track1_046.pbo,647.70,out_of_time
flat150-2.pbo,4.81,1.11
mc2024_track1_026.pbo,1028.82,out_of_time
mc2024_track1_035.pbo,633.47,out_of_time
mc2024_track1_053.pbo,1064.27,out_of_time
mc2024_track1_182.pbo,469.85,out_of_time
mc2024_track1_040.pbo,399.37,out_of_time
flat200-1.pbo,5.69,1.09
flat75-8.pbo,3.28,0.56
mc2024_track1_143.pbo,1912.58,out_of_time
sw100-15.pbo,549.09,out_of_time
mc2024_track1_144.pbo,657.75,out_of_time
mc2024_track1_158.pbo,2655.44,out_of_time
