Instance,PeakMem(MB),Time(s)
mc2024_track1_021.pbo,3372.64,4516.10
mc2024_track1_165.pbo,1629.25,3139.24
flat200-3.pbo,47.40,8.77
flat125-3.pbo,33.57,2.75
mc2024_track1_083.pbo,7.29,0.70
flat100-4.pbo,18.98,2.13
mc2024_track1_092.pbo,3923.87,out_of_time
mc2024_track1_064.pbo,636.43,out_of_time
flat50-10.pbo,13.46,1.80
mc2024_track1_173.pbo,108.43,5.42
mc2024_track1_175.pbo,9.68,0.78
mc2024_track1_148.pbo,1839.10,out_of_time
mc2024_track1_002.pbo,1229.04,out_of_time
ais10.pbo,669.38,out_of_time
mc2024_track1_050.pbo,137.07,out_of_time
cnf_cbpmas_prop_1_12761_2.cnf_12.73000000.sat.pbo,17278.64,500.63
flat100-8.pbo,21.61,1.92
mc2024_track1_048.pbo,179.65,out_of_time
mc2024_track1_167.pbo,4512.68,out_of_time
flat30-1.pbo,8.33,0.96
mc2024_track1_152.pbo,1697.25,out_of_time
mc2024_track1_070.pbo,18055.78,492.86
flat75-4.pbo,22.29,2.27
mc2024_track1_130.pbo,1517.05,out_of_time
mc2024_track1_190.pbo,535.40,out_of_time
flat100-6.pbo,19.44,1.91
mc2024_track1_180.pbo,11.04,0.84
flat30-9.pbo,8.32,1.59
mc2024_track1_176.pbo,225.56,11.65
mc2024_track1_157.pbo,1217.52,out_of_time
flat150-5.pbo,33.06,4.08
mc2024_track1_145.pbo,7075.94,out_of_time
sw100-12.pbo,2298.55,out_of_time
mc2024_track1_115.pbo,659.55,out_of_time
mc2024_track1_140.pbo,2951.39,out_of_time
mc2024_track1_097.pbo,18457.41,2749.51
mc2024_track1_172.pbo,824.01,out_of_time
mc2024_track1_040.pbo,424.35,out_of_time
mc2024_track1_079.pbo,9.52,0.93
mc2024_track1_027.pbo,35.88,1.78
mc2024_track1_128.pbo,1715.97,out_of_time
mc2024_track1_182.pbo,2577.16,out_of_time
flat100-10.pbo,20.70,2.93
mc2024_track1_046.pbo,260.98,out_of_time
mc2024_track1_080.pbo,4.38,0.57
flat100-5.pbo,24.21,2.35
flat100-3.pbo,20.97,1.90
mc2024_track1_009.pbo,4642.79,out_of_time
flat200-5.pbo,55.24,12.60
mc2024_track1_159.pbo,538.84,537.70
mc2024_track1_034.pbo,2487.70,out_of_time
cnf_cbpmas_prop_23_20123_2.cnf_0.00000000.sat.pbo,2823.26,out_of_time
mc2024_track1_127.pbo,1784.02,out_of_time
mc2024_track1_188.pbo,1242.43,out_of_time
flat30-7.pbo,7.38,0.99
mc2024_track1_037.pbo,2154.17,out_of_time
sw100-6.pbo,1365.98,out_of_time
flat200-4.pbo,41.81,7.08
mc2024_track1_057.pbo,758.07,32.55
mc2024_track1_170.pbo,1365.98,out_of_time
mc2024_track1_108.pbo,664.38,out_of_time
mc2024_track1_114.pbo,142.94,out_of_time
mc2024_track1_101.pbo,2807.89,out_of_time
mc2024_track1_123.pbo,2410.41,out_of_time
mc2024_track1_077.pbo,2124.55,out_of_time
cnf_cbpmas_prop_19_19151_2.cnf_0.00000000.sat.pbo,2862.87,out_of_time
mc2024_track1_035.pbo,1935.34,out_of_time
flat200-1.pbo,40.95,8.59
mc2024_track1_089.pbo,35.33,4.20
mc2024_track1_135.pbo,17471.28,566.94
mc2024_track1_122.pbo,22401.96,1071.34
mc2024_track1_088.pbo,4977.45,out_of_time
cnf_cbpmas_prop_29_22553_2.cnf_13.05000000.sat.pbo,17315.55,499.38
mc2024_track1_197.pbo,5132.82,out_of_time
flat75-7.pbo,16.09,1.66
cnf_cbpmas_prop_6_14201_2.cnf_8.90000000.sat.pbo,17310.51,501.69
mc2024_track1_139.pbo,18039.33,491.20
mc2024_track1_107.pbo,1228.25,out_of_time
flat100-9.pbo,20.52,2.75
sw100-8.pbo,1647.32,out_of_time
mc2024_track1_124.pbo,17486.48,576.79
cnf_cbpmas_prop_37_25392_2.cnf_0.16000000.sat.pbo,20788.63,518.39
mc2024_track1_164.pbo,1029.81,643.25
mc2024_track1_109.pbo,1175.18,out_of_time
mc2024_track1_111.pbo,610.48,out_of_time
flat30-4.pbo,6.45,0.82
logistics.d.pbo,3357.15,out_of_time
mc2024_track1_168.pbo,1216.88,out_of_time
cnf_mo_prop_9_12912_2.cnf_0.00000000.sat.pbo,3166.78,out_of_time
logistics.a.pbo,1503.65,out_of_time
mc2024_track1_137.pbo,24090.42,977.37
mc2024_track1_029.pbo,5.37,0.63
mc2024_track1_184.pbo,12.55,0.83
sw100-4.pbo,1527.86,out_of_time
mc2024_track1_147.pbo,3643.98,out_of_time
mc2024_track1_038.pbo,2366.80,out_of_time
logistics.b.pbo,864.64,out_of_time
mc2024_track1_104.pbo,1372.48,out_of_time
flat175-3.pbo,33.66,5.23
mc2024_track1_174.pbo,9.04,0.78
mc2024_track1_163.pbo,753.27,1090.78
mc2024_track1_132.pbo,1468.93,out_of_time
mc2024_track1_121.pbo,24.53,36.60
mc2024_track1_087.pbo,21.99,2.87
mc2024_track1_155.pbo,2530.65,out_of_time
mc2024_track1_049.pbo,139.05,out_of_time
mc2024_track1_061.pbo,6.70,0.64
mc2024_track1_013.pbo,457.17,68.54
mc2024_track1_084.pbo,15415.25,out_of_time
sw100-13.pbo,1622.99,out_of_time
mc2024_track1_118.pbo,2.19,0.46
mc2024_track1_189.pbo,1023.80,out_of_time
flat30-10.pbo,8.04,0.88
mc2024_track1_117.pbo,32.27,47.23
mc2024_track1_028.pbo,3.50,0.49
mc2024_track1_053.pbo,1811.00,out_of_time
mc2024_track1_045.pbo,197.21,out_of_time
sw100-7.pbo,1205.80,out_of_time
mc2024_track1_169.pbo,2405.61,6593.40
flat100-1.pbo,24.09,2.66
mc2024_track1_076.pbo,17435.57,488.56
flat75-1.pbo,15.43,2.41
cnf_mo_prop_1_790_2.cnf_0.00000000.sat.pbo,3622.90,out_of_time
flat30-2.pbo,9.95,1.60
mc2024_track1_131.pbo,1400.01,out_of_time
mc2024_track1_015.pbo,543.61,34.63
ais8.pbo,429.42,out_of_time
mc2024_track1_078.pbo,17559.76,568.07
mc2024_track1_136.pbo,17559.73,488.41
flat30-8.pbo,7.48,0.67
flat125-5.pbo,32.19,3.03
