Benchmark,is_OPT,BEST,tot_time,solving_time
ais6,0,,0.594209,0.58053
ais8,1,30,56.7429,56.6867
ais10,0,,,
ais12,0,,,
cnf_cbpmas_prop_1_12761_2.cnf_12.73000000.sat,0,,,
cnf_cbpmas_prop_2_13116_2.cnf_9.98000000.sat,0,,,
cnf_cbpmas_prop_5_13961_2.cnf_7.57000000.sat,0,,,
cnf_cbpmas_prop_6_14201_2.cnf_8.90000000.sat,0,,,
cnf_cbpmas_prop_19_19151_2.cnf_0.00000000.sat,0,,,
cnf_cbpmas_prop_20_19379_2.cnf_9.60000000.sat,0,,,
cnf_cbpmas_prop_21_19624_2.cnf_0.01000000.sat,0,,,
cnf_cbpmas_prop_22_19855_2.cnf_9.97000000.sat,0,,,
cnf_cbpmas_prop_23_20123_2.cnf_0.00000000.sat,0,,,
cnf_cbpmas_prop_24_20378_2.cnf_11.87000000.sat,0,,,
cnf_cbpmas_prop_25_20875_2.cnf_0.00000000.sat,0,,,
cnf_cbpmas_prop_26_21271_2.cnf_12.78000000.sat,0,,,
cnf_cbpmas_prop_27_21735_2.cnf_6.82000000.sat,0,,,
cnf_cbpmas_prop_28_22074_2.cnf_6.85000000.sat,0,,,
cnf_cbpmas_prop_29_22553_2.cnf_13.05000000.sat,0,,,
cnf_cbpmas_prop_37_25392_2.cnf_0.16000000.sat,0,,,
cnf_mo_prop_1_790_2.cnf_0.00000000.sat,0,,,
cnf_mo_prop_2_1768_2.cnf_0.00000000.sat,0,,,
cnf_mo_prop_8_12004_2.cnf_0.00000000.sat,0,,,
cnf_mo_prop_9_12912_2.cnf_0.00000000.sat,0,,,
flat30-1,1,60,0.658001,0.631964
flat30-2,1,60,0.926086,0.898111
flat30-3,1,60,0.890306,0.862232
flat30-4,1,60,0.807186,0.77941
flat30-5,0,,0.881285,0.854738
flat30-6,1,60,0.211516,0.18464
flat30-7,1,60,0.809959,0.782436
flat30-8,1,60,0.183637,0.159125
flat30-9,1,60,0.190102,0.165241
flat30-10,1,60,0.925711,0.902626
flat50-1,1,100,1.58017,1.50369
flat50-2,1,100,0.43985,0.377117
flat50-3,1,100,0.50485,0.440731
flat50-4,1,100,2.68278,2.61248
flat50-5,1,100,0.350954,0.289439
flat50-6,0,,1.41471,1.34195
flat50-7,0,,0.981514,0.912959
flat50-8,1,100,3.25724,3.19068
flat50-9,1,100,0.367358,0.300727
flat50-10,1,100,75.0598,74.9763
flat75-1,1,150,4.36171,4.20994
flat75-2,1,150,4.95155,4.7979
flat75-3,1,150,1.96821,1.8136
flat75-4,1,150,1.97866,1.83556
flat75-5,1,150,51.209,51.0172
flat75-6,1,150,2.21582,2.05093
flat75-7,1,150,9.28735,9.12725
flat75-8,1,150,2.37889,2.22454
flat75-9,1,150,1.67474,1.5227
flat75-10,1,150,44.3441,44.1744
flat100-1,1,200,2.28479,2.0271
flat100-2,1,200,1.85192,1.60254
flat100-3,1,200,1.92813,1.67637
flat100-4,1,200,2.10115,1.84028
flat100-5,1,200,2.85263,2.601
flat100-6,1,200,85.3911,85.0835
flat100-7,1,200,2.158,1.867
flat100-8,1,200,2.26393,1.9804
flat100-9,1,200,2.57052,2.29307
flat100-10,1,200,1.90525,1.61569
flat125-1,1,250,3.006,2.57117
flat125-2,1,250,3.63149,3.17092
flat125-3,1,250,53.7374,53.3172
flat125-4,1,250,61.8411,61.3878
flat125-5,1,250,3.60895,3.1438
flat150-1,1,300,3.97254,3.33294
flat150-2,1,300,3.05601,2.41921
flat150-3,1,300,3.03719,2.39344
flat150-4,1,300,3.12685,2.56582
flat150-5,1,300,13.1896,12.6052
flat175-1,1,350,7.69365,6.91915
flat175-2,1,350,6.48695,5.59449
flat175-3,1,350,6.26026,5.45474
flat175-4,1,350,6.50281,5.61981
flat175-5,1,350,4.7871,3.91685
flat200-1,1,400,8.08456,6.97003
flat200-2,1,400,25.3477,24.1754
flat200-3,1,400,4.46231,3.39528
flat200-4,1,400,9.47806,8.27657
flat200-5,1,400,29.8119,28.7446
logistics.a,0,,,
logistics.b,0,,,
logistics.c,0,,,
logistics.d,0,,,
mc2024_track1_000,0,,,
mc2024_track1_001,0,,,
mc2024_track1_002,0,,,
mc2024_track1_003,0,,,
mc2024_track1_004,0,,,
mc2024_track1_005,0,,,
mc2024_track1_006,0,,,
mc2024_track1_007,0,,,
mc2024_track1_008,0,,,
mc2024_track1_009,0,,,
mc2024_track1_010,1,2412,584.224,563.982
mc2024_track1_011,0,,,
mc2024_track1_012,0,,,
mc2024_track1_013,1,2286,488.331,469.874
mc2024_track1_014,0,,,
mc2024_track1_015,1,1118,95.3741,80.2024
mc2024_track1_016,0,,,
mc2024_track1_017,0,,,
mc2024_track1_018,0,,,
mc2024_track1_019,0,,,
mc2024_track1_020,1,1181,70.85,65.9961
mc2024_track1_021,0,,,
mc2024_track1_022,0,,,
mc2024_track1_023,0,,,
mc2024_track1_024,0,,,
mc2024_track1_025,0,,,
mc2024_track1_026,0,,,
mc2024_track1_027,1,448,7.04589,6.34971
mc2024_track1_028,1,63,0.242313,0.230419
mc2024_track1_029,1,75,0.388793,0.371595
mc2024_track1_030,1,66,0.393221,0.381379
mc2024_track1_031,0,,0.06894,0.054925
mc2024_track1_032,0,87,0.24838,0.224467
mc2024_track1_033,0,,,
mc2024_track1_034,0,,,
mc2024_track1_035,0,,,
mc2024_track1_036,0,,,
mc2024_track1_037,0,,,
mc2024_track1_038,0,,,
mc2024_track1_039,0,,,
mc2024_track1_040,0,,,
mc2024_track1_041,0,,,
mc2024_track1_042,0,,,
mc2024_track1_043,0,,,
mc2024_track1_044,0,,,
mc2024_track1_045,0,,,
mc2024_track1_046,0,,,
mc2024_track1_047,0,,,
mc2024_track1_048,0,,,
mc2024_track1_049,0,,,
mc2024_track1_050,0,,,
mc2024_track1_051,1,84,,
mc2024_track1_052,0,,,
mc2024_track1_053,0,,,
mc2024_track1_054,1,866,40.0546,37.6955
mc2024_track1_055,1,1695,152.155,142.36
mc2024_track1_056,1,5814,3139.5,3009.16
mc2024_track1_057,0,,,
mc2024_track1_058,0,,,
mc2024_track1_059,0,,,
mc2024_track1_060,0,,,
mc2024_track1_061,1,87,9708.66,9708.6
mc2024_track1_062,0,,,
mc2024_track1_063,0,,,
mc2024_track1_064,0,,,
mc2024_track1_065,0,,,
mc2024_track1_067,0,,,
mc2024_track1_068,0,,,
mc2024_track1_069,0,,,
mc2024_track1_070,0,,,
mc2024_track1_072,0,,,
mc2024_track1_073,0,,,
mc2024_track1_074,0,,,
mc2024_track1_075,0,,,
mc2024_track1_076,0,,,
mc2024_track1_077,0,,,
mc2024_track1_078,0,,,
mc2024_track1_079,1,122,0.699447,0.638358
mc2024_track1_080,0,,1.39345,1.37188
mc2024_track1_081,1,70,1.09389,1.06546
mc2024_track1_082,0,,,
mc2024_track1_083,0,,,
mc2024_track1_084,0,,,
mc2024_track1_085,0,,,
mc2024_track1_086,0,,,
mc2024_track1_087,0,,,
mc2024_track1_088,0,,,
mc2024_track1_089,1,444,322.404,321.753
mc2024_track1_090,1,950,1946.25,1942.88
mc2024_track1_091,0,,,
mc2024_track1_092,0,,,
mc2024_track1_096,0,,,
mc2024_track1_097,0,,,
mc2024_track1_100,0,,,
mc2024_track1_101,0,,,
mc2024_track1_102,0,,,
mc2024_track1_103,0,,,
mc2024_track1_104,0,,,
mc2024_track1_105,1,418,411.999,410.448
mc2024_track1_106,0,,,
mc2024_track1_107,0,,,
mc2024_track1_108,0,,,
mc2024_track1_109,0,,,
mc2024_track1_110,0,,,
mc2024_track1_111,0,,,
mc2024_track1_112,0,,,
mc2024_track1_113,0,,,
mc2024_track1_114,1,320,3926.0,3925.72
mc2024_track1_115,0,,,
mc2024_track1_116,0,,,
mc2024_track1_117,1,90,0.358339,0.305664
mc2024_track1_118,1,39,0.032509,0.026877
mc2024_track1_119,1,320,3636.75,3636.46
mc2024_track1_120,1,320,914.166,913.894
mc2024_track1_121,1,176,0.74387,0.650643
mc2024_track1_122,0,,,
mc2024_track1_123,0,,,
mc2024_track1_124,0,,,
mc2024_track1_125,0,,,
mc2024_track1_126,0,,,
mc2024_track1_127,1,162,127.502,125.624
mc2024_track1_128,0,,,
mc2024_track1_129,0,,,
mc2024_track1_130,0,,,
mc2024_track1_131,0,,,
mc2024_track1_132,0,,,
mc2024_track1_134,0,,,
mc2024_track1_135,0,,,
mc2024_track1_136,0,,,
mc2024_track1_137,0,,,
mc2024_track1_138,0,,,
mc2024_track1_139,0,,,
