Benchmark,is_OPT,BEST,tot_time,solving_time
ais6,1,22,,0.913774
ais8,1,30,,55.9542
ais10,0,,,
ais12,0,,,
cnf_cbpmas_prop_1_12761_2.cnf_12.73000000.sat,0,,,
cnf_cbpmas_prop_2_13116_2.cnf_9.98000000.sat,0,,,
cnf_cbpmas_prop_5_13961_2.cnf_7.57000000.sat,0,,,
cnf_cbpmas_prop_6_14201_2.cnf_8.90000000.sat,0,,,
cnf_cbpmas_prop_19_19151_2.cnf_0.00000000.sat,0,,,
cnf_cbpmas_prop_20_19379_2.cnf_9.60000000.sat,0,,,
cnf_cbpmas_prop_21_19624_2.cnf_0.01000000.sat,0,,,
cnf_cbpmas_prop_22_19855_2.cnf_9.97000000.sat,0,,,
cnf_cbpmas_prop_23_20123_2.cnf_0.00000000.sat,0,,,
cnf_cbpmas_prop_24_20378_2.cnf_11.87000000.sat,0,,,
cnf_cbpmas_prop_25_20875_2.cnf_0.00000000.sat,0,,,
cnf_cbpmas_prop_26_21271_2.cnf_12.78000000.sat,0,,,
cnf_cbpmas_prop_27_21735_2.cnf_6.82000000.sat,0,,,
cnf_cbpmas_prop_28_22074_2.cnf_6.85000000.sat,0,,,
cnf_cbpmas_prop_29_22553_2.cnf_13.05000000.sat,0,,,
cnf_cbpmas_prop_37_25392_2.cnf_0.16000000.sat,0,,,
cnf_mo_prop_1_790_2.cnf_0.00000000.sat,0,,,
cnf_mo_prop_2_1768_2.cnf_0.00000000.sat,0,,,
cnf_mo_prop_8_12004_2.cnf_0.00000000.sat,0,,,
cnf_mo_prop_9_12912_2.cnf_0.00000000.sat,0,,,
flat30-1,1,60,,2.09435
flat30-2,1,60,,0.376998
flat30-3,1,60,,0.621429
flat30-4,1,60,,0.79407
flat30-5,1,60,,0.524777
flat30-6,1,60,,1.08598
flat30-7,1,60,,1.24408
flat30-8,1,60,,0.226529
flat30-9,1,60,,0.236119
flat30-10,1,60,,0.593462
flat50-1,1,100,,1.0134
flat50-2,1,100,,0.961029
flat50-3,1,100,,0.52188
flat50-4,1,100,,0.76677
flat50-5,1,100,,1.11337
flat50-6,1,100,,0.878974
flat50-7,1,100,,0.769248
flat50-8,1,100,,3.0017
flat50-9,1,100,,21.6408
flat50-10,1,100,,40.8658
flat75-1,1,150,,8.62588
flat75-2,1,150,,3.10285
flat75-3,1,150,,1.38764
flat75-4,1,150,,1.51353
flat75-5,1,150,,1.22026
flat75-6,1,150,,4.1693
flat75-7,1,150,,4.68773
flat75-8,1,150,,1.68416
flat75-9,1,150,,1.46009
flat75-10,1,150,,1.58684
flat100-1,1,200,,3.35032
flat100-2,1,200,,2.23013
flat100-3,1,200,,2.38381
flat100-4,1,200,,1.79324
flat100-5,1,200,,1.49941
flat100-6,1,200,,1.61145
flat100-7,1,200,,2.77795
flat100-8,1,200,,35.4785
flat100-9,1,200,,1.79464
flat100-10,1,200,,1.64722
flat125-1,1,250,,3.33773
flat125-2,1,250,,2.77451
flat125-3,1,250,,2.65249
flat125-4,1,250,,1.42207
flat125-5,1,250,,2.63727
flat150-1,1,300,,3.05499
flat150-2,1,300,,3.00155
flat150-3,1,300,,2.84823
flat150-4,1,300,,3.62339
flat150-5,1,300,,3.57114
flat175-1,1,350,,5.3828
flat175-2,1,350,,3.47129
flat175-3,1,350,,4.58021
flat175-4,1,350,,3.11194
flat175-5,1,350,,3.97927
flat200-1,1,400,,7.43155
flat200-2,1,400,,4.88146
flat200-3,1,400,,3.47287
flat200-4,1,400,,23.2085
flat200-5,1,400,,49.3543
logistics.a,0,,,
logistics.b,0,,,
logistics.c,0,,,
logistics.d,0,,,
mc2024_track1_000,0,,,
mc2024_track1_001,0,,,
mc2024_track1_002,0,,,
mc2024_track1_003,0,,,
mc2024_track1_004,1,95,,211.204
mc2024_track1_005,0,,,
mc2024_track1_006,0,,,
mc2024_track1_007,0,,,
mc2024_track1_008,0,,,
mc2024_track1_009,1,2888,,229.812
mc2024_track1_010,1,2412,,3770.52
mc2024_track1_011,0,,,
mc2024_track1_012,0,,,
mc2024_track1_013,1,2286,,403.45
mc2024_track1_014,0,,,
mc2024_track1_015,1,1118,,78.2611
mc2024_track1_016,0,,,
mc2024_track1_017,0,,,
mc2024_track1_018,0,,,
mc2024_track1_019,0,,,
mc2024_track1_020,1,1181,,99.2068
mc2024_track1_021,0,,,
mc2024_track1_022,0,,,
mc2024_track1_023,0,,,
mc2024_track1_024,0,,,
mc2024_track1_025,0,,,
mc2024_track1_026,0,,,
mc2024_track1_027,1,448,,6.2532
mc2024_track1_028,1,63,,0.122116
mc2024_track1_029,1,75,,0.145732
mc2024_track1_030,1,66,,0.148982
mc2024_track1_031,1,78,,
mc2024_track1_032,0,87,,0.081967
mc2024_track1_033,0,,,
mc2024_track1_034,0,,,
mc2024_track1_035,0,,,
mc2024_track1_036,0,,,
mc2024_track1_037,0,,,
mc2024_track1_038,0,,,
mc2024_track1_039,0,,,
mc2024_track1_040,0,,,
mc2024_track1_041,0,,,
