Benchmark,is_OPT,BEST,tot_time,solving_time
ais6,1,22,0.268549,0.260358
ais8,1,30,41.4271,41.4078
ais10,0,,,
ais12,0,,,
cnf_cbpmas_prop_1_12761_2.cnf_12.73000000.sat,0,,,
cnf_cbpmas_prop_2_13116_2.cnf_9.98000000.sat,0,,,
cnf_cbpmas_prop_5_13961_2.cnf_7.57000000.sat,0,,,
cnf_cbpmas_prop_6_14201_2.cnf_8.90000000.sat,0,,,
cnf_cbpmas_prop_19_19151_2.cnf_0.00000000.sat,0,,,
cnf_cbpmas_prop_20_19379_2.cnf_9.60000000.sat,0,,,
cnf_cbpmas_prop_21_19624_2.cnf_0.01000000.sat,0,,,
cnf_cbpmas_prop_22_19855_2.cnf_9.97000000.sat,0,,,
cnf_cbpmas_prop_23_20123_2.cnf_0.00000000.sat,0,,,
cnf_cbpmas_prop_24_20378_2.cnf_11.87000000.sat,0,,,
cnf_cbpmas_prop_25_20875_2.cnf_0.00000000.sat,0,,,
cnf_cbpmas_prop_26_21271_2.cnf_12.78000000.sat,0,,,
cnf_cbpmas_prop_27_21735_2.cnf_6.82000000.sat,0,,,
cnf_cbpmas_prop_28_22074_2.cnf_6.85000000.sat,0,,,
cnf_cbpmas_prop_29_22553_2.cnf_13.05000000.sat,0,,,
cnf_cbpmas_prop_37_25392_2.cnf_0.16000000.sat,0,,,
cnf_mo_prop_1_790_2.cnf_0.00000000.sat,0,,,
cnf_mo_prop_2_1768_2.cnf_0.00000000.sat,0,,,
cnf_mo_prop_8_12004_2.cnf_0.00000000.sat,0,,,
cnf_mo_prop_9_12912_2.cnf_0.00000000.sat,0,,,
flat30-1,1,60,0.027697,0.024225
flat30-2,1,60,0.014441,0.009252
flat30-3,0,,0.014901,0.010936
flat30-4,0,,0.021266,
flat30-5,1,60,0.024847,0.020574
flat30-6,1,60,0.011484,0.007423
flat30-7,1,60,0.013449,0.00925
flat30-8,0,,,
flat30-9,1,60,0.018085,0.013121
flat30-10,1,60,0.020257,0.014713
flat50-1,0,,0.03375,0.024195
flat50-2,1,100,0.056636,0.046476
flat50-3,1,100,0.037969,0.02865
flat50-4,1,100,,
flat50-5,1,100,0.029706,
flat50-6,1,100,0.102253,0.094164
flat50-7,1,24,,
flat50-8,1,100,,
flat50-9,1,100,0.052958,0.045349
flat50-10,1,100,0.04793,0.039886
flat75-1,1,150,,
flat75-2,0,,0.061542,0.04898
flat75-3,1,150,,
flat75-4,1,150,0.068026,0.055938
flat75-5,1,150,0.060481,0.047582
flat75-6,1,150,0.060835,0.049031
flat75-7,1,150,,
flat75-8,1,150,0.068068,0.051812
flat75-9,1,150,,
flat75-10,1,150,0.059569,0.047171
flat100-1,1,200,0.084483,0.067295
flat100-2,1,200,0.080055,0.058011
flat100-3,1,200,,
flat100-4,1,200,0.067264,0.052053
flat100-5,1,200,0.099127,0.080351
flat100-6,1,200,,
flat100-7,1,200,0.087476,0.067884
flat100-8,1,200,,
flat100-9,1,200,0.101779,0.081025
flat100-10,1,200,0.076026,0.061835
flat125-1,1,250,0.128708,0.103226
flat125-2,1,250,0.124206,0.09905
flat125-3,1,250,0.12307,0.102136
flat125-4,1,250,0.147405,0.12327
flat125-5,0,,0.183649,0.161456
flat150-1,0,,0.153413,0.124153
flat150-2,1,300,0.159995,0.130527
flat150-3,1,300,0.190793,0.161617
flat150-4,1,300,0.261177,0.230334
flat150-5,0,,0.204019,0.17264
flat175-1,1,350,0.201772,0.170672
flat175-2,1,350,0.257885,0.219397
flat175-3,1,350,0.290035,0.252276
flat175-4,1,350,0.732044,0.696759
flat175-5,0,,0.215863,0.185999
flat200-1,1,400,0.235426,0.200225
