Benchmark,is_OPT,BEST,tot_time,solving_time
ais6,0,,0.228166,0.222669
ais8,1,30,21.3046,21.2826
ais10,0,,,
ais12,0,,,
cnf_cbpmas_prop_1_12761_2.cnf_12.73000000.sat,0,,,
cnf_cbpmas_prop_2_13116_2.cnf_9.98000000.sat,0,,,
cnf_cbpmas_prop_5_13961_2.cnf_7.57000000.sat,0,,,
cnf_cbpmas_prop_6_14201_2.cnf_8.90000000.sat,0,,,
cnf_cbpmas_prop_19_19151_2.cnf_0.00000000.sat,0,,,
cnf_cbpmas_prop_20_19379_2.cnf_9.60000000.sat,0,,,
cnf_cbpmas_prop_21_19624_2.cnf_0.01000000.sat,0,,,
cnf_cbpmas_prop_22_19855_2.cnf_9.97000000.sat,0,,,
cnf_cbpmas_prop_23_20123_2.cnf_0.00000000.sat,0,,,
cnf_cbpmas_prop_24_20378_2.cnf_11.87000000.sat,0,,,
cnf_cbpmas_prop_25_20875_2.cnf_0.00000000.sat,0,,,
cnf_cbpmas_prop_26_21271_2.cnf_12.78000000.sat,0,,,
cnf_cbpmas_prop_27_21735_2.cnf_6.82000000.sat,0,,,
cnf_cbpmas_prop_28_22074_2.cnf_6.85000000.sat,0,,,
cnf_cbpmas_prop_29_22553_2.cnf_13.05000000.sat,0,,,
cnf_cbpmas_prop_37_25392_2.cnf_0.16000000.sat,0,,,
cnf_mo_prop_1_790_2.cnf_0.00000000.sat,1,2788,178.904,176.789
cnf_mo_prop_2_1768_2.cnf_0.00000000.sat,1,2788,179.915,177.85
cnf_mo_prop_8_12004_2.cnf_0.00000000.sat,1,2788,109.02,107.071
cnf_mo_prop_9_12912_2.cnf_0.00000000.sat,1,2788,95.9185,94.1733
flat30-1,1,60,0.019686,0.014458
flat30-2,1,60,0.016315,0.011099
flat30-3,1,60,0.012372,0.008725
flat30-4,0,,0.022606,0.017352
flat30-5,0,,0.018789,0.012503
flat30-6,0,,0.018783,0.013813
flat30-7,0,,0.019839,0.015949
flat30-8,1,60,0.014603,0.011873
flat30-9,1,60,0.019171,0.014492
flat30-10,0,,0.023169,
flat50-1,1,100,0.034413,0.026234
flat50-2,1,100,0.037791,0.028234
flat50-3,1,,,
flat50-4,1,100,,
flat50-5,1,100,0.033092,0.024832
flat50-6,1,100,0.034789,0.02468
flat50-7,1,100,0.042226,0.0317
flat50-8,1,100,0.08498,0.076354
flat50-9,1,,,
flat50-10,0,,,
flat75-1,1,150,0.091309,0.0755
flat75-2,1,150,0.060342,0.047861
flat75-3,1,150,,
flat75-5,1,150,0.076695,0.059479
flat75-6,1,150,,
flat75-7,1,150,0.121054,0.108323
flat75-8,1,150,,
flat75-9,1,150,0.066362,0.054665
flat75-10,1,150,0.073111,0.057515
flat100-1,1,200,,
flat100-2,1,200,,
flat100-3,1,200,,
flat100-4,1,200,0.108101,0.085721
flat100-5,1,200,0.10788,0.088399
flat100-6,1,200,0.107211,0.087692
flat100-7,1,200,0.178133,0.15586
flat100-8,1,200,0.140417,0.120656
flat100-9,1,200,,
flat100-10,1,200,,
flat125-1,1,250,0.159147,0.132789
flat125-2,0,,0.236907,0.212837
flat125-3,1,250,0.160569,0.133773
flat125-4,1,250,0.146697,0.11646
flat125-5,0,,0.22573,0.197314
flat150-1,1,300,0.722442,0.690039
flat150-2,1,300,0.282345,0.248504
flat150-3,1,300,0.33097,0.299568
flat150-4,1,300,0.249147,0.2161
flat150-5,0,,0.276949,0.239326
flat175-1,1,350,0.281362,0.234132
flat175-2,1,350,0.281548,0.242375
flat175-3,1,350,0.255933,0.217885
flat175-4,1,350,0.28944,0.249534
flat175-5,1,350,0.45309,0.408285
flat200-1,1,400,0.425516,0.366666
flat200-2,1,400,0.390392,0.336714
flat200-3,0,,0.600786,0.544333
flat200-4,1,400,0.506945,0.453265
flat200-5,1,400,0.382934,0.335578
logistics.a,1,270,41.0442,40.8801
logistics.b,0,,,
logistics.c,0,,,
logistics.d,0,,,
mc2024_track1_000,0,,,
mc2024_track1_001,0,,,
mc2024_track1_002,0,,,
mc2024_track1_003,1,123,132.712,132.694
mc2024_track1_004,1,95,702.725,702.276
mc2024_track1_005,0,,,
mc2024_track1_006,0,,,
mc2024_track1_007,0,,,
mc2024_track1_008,0,,,
mc2024_track1_009,1,2888,31.0464,29.3877
mc2024_track1_010,1,2412,0.404097,0.306939
mc2024_track1_011,0,,,
mc2024_track1_012,0,,,
mc2024_track1_013,1,2286,0.503223,0.404938
mc2024_track1_014,1,881,4597.81,4597.61
mc2024_track1_015,1,1118,0.351084,0.148154
mc2024_track1_016,1,1265,1.3556,1.0871
mc2024_track1_017,0,,,
mc2024_track1_018,0,,,
mc2024_track1_019,0,,,
mc2024_track1_020,1,1181,0.33763,0.26244
mc2024_track1_021,0,,,
mc2024_track1_022,0,,,
mc2024_track1_023,1,1857,724.456,723.643
mc2024_track1_024,0,,,
mc2024_track1_025,0,,,
mc2024_track1_026,0,,,
mc2024_track1_027,0,,0.036139,0.014137
